Country1,Country2,distance2,Label2,test
Albania,Albania,0,sure-not-crossing,AlbaniaAlbania
Algeria,Algeria,0,sure-not-crossing,AlgeriaAlgeria
Angola,Angola,0,sure-not-crossing,AngolaAngola
Argentina,Argentina,0,sure-not-crossing,ArgentinaArgentina
Armenia,Armenia,0,sure-not-crossing,ArmeniaArmenia
Australia,Australia,0,sure-not-crossing,AustraliaAustralia
Austria,Austria,0,sure-not-crossing,AustriaAustria
Azerbaijan,Azerbaijan,0,sure-not-crossing,AzerbaijanAzerbaijan
Bangladesh,Bangladesh,0,sure-not-crossing,BangladeshBangladesh
Belarus,Belarus,0,sure-not-crossing,BelarusBelarus
Belgium,Belgium,0,sure-not-crossing,BelgiumBelgium
Bolivia,Bolivia,0,sure-not-crossing,BoliviaBolivia
Bosnia and Herzegovina,Bosnia and Herzegovina,0,sure-not-crossing,Bosnia and HerzegovinaBosnia and Herzegovina
Brazil,Brazil,0,sure-not-crossing,BrazilBrazil
Bulgaria,Bulgaria,0,sure-not-crossing,BulgariaBulgaria
Burkina Faso,Burkina Faso,0,sure-not-crossing,Burkina FasoBurkina Faso
Canada,Canada,0,sure-not-crossing,CanadaCanada
Cape Verde,Cape Verde,0,sure-not-crossing,Cape VerdeCape Verde
Caribbean Netherlands,Caribbean Netherlands,0,sure-not-crossing,Caribbean NetherlandsCaribbean Netherlands
Caribbean Netherlands,Netherlands,0,sure-not-crossing,Caribbean NetherlandsNetherlands
Chile,Chile,0,sure-not-crossing,ChileChile
China,China,0,sure-not-crossing,ChinaChina
Colombia,Colombia,0,sure-not-crossing,ColombiaColombia
Costa Rica,Costa Rica,0,sure-not-crossing,Costa RicaCosta Rica
Croatia,Croatia,0,sure-not-crossing,CroatiaCroatia
Czech Republic,Czech Republic,0,sure-not-crossing,Czech RepublicCzech Republic
Denmark,Denmark,0,sure-not-crossing,DenmarkDenmark
Dominican Republic,Dominican Republic,0,sure-not-crossing,Dominican RepublicDominican Republic
Ecuador,Ecuador,0,sure-not-crossing,EcuadorEcuador
Egypt,Egypt,0,sure-not-crossing,EgyptEgypt
El Salvador,El Salvador,0,sure-not-crossing,El SalvadorEl Salvador
Estonia,Estonia,0,sure-not-crossing,EstoniaEstonia
Ethiopia,Ethiopia,0,sure-not-crossing,EthiopiaEthiopia
Finland,Finland,0,sure-not-crossing,FinlandFinland
France,France,0,sure-not-crossing,FranceFrance
Georgia,Georgia,0,sure-not-crossing,GeorgiaGeorgia
Germany,Germany,0,sure-not-crossing,GermanyGermany
Ghana,Ghana,0,sure-not-crossing,GhanaGhana
Greece,Greece,0,sure-not-crossing,GreeceGreece
Guatemala,Guatemala,0,sure-not-crossing,GuatemalaGuatemala
Honduras,Honduras,0,sure-not-crossing,HondurasHonduras
Hong Kong,Hong Kong,0,sure-not-crossing,Hong KongHong Kong
Hungary,Hungary,0,sure-not-crossing,HungaryHungary
Iceland,Iceland,0,sure-not-crossing,IcelandIceland
India,India,0,sure-not-crossing,IndiaIndia
Indonesia,Indonesia,0,sure-not-crossing,IndonesiaIndonesia
Iran,Iran,0,sure-not-crossing,IranIran
Iraq,Iraq,0,sure-not-crossing,IraqIraq
Ireland,Ireland,0,sure-not-crossing,IrelandIreland
Israel,Israel,0,sure-not-crossing,IsraelIsrael
Italy,Italy,0,sure-not-crossing,ItalyItaly
Jamaica,Jamaica,0,sure-not-crossing,JamaicaJamaica
